Year,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
136,746,"1,028.69","1,418.51","1,950.87","2,682.96","3,652.27","4,948.46","6,682.09","9,026.68","12,091.02","15,909.74","20,108.82","24,369.00","28,087.92","30,420.84","32,688.36","33,388.57","34,524.33","34,867.76","36,031.36","36,540.31","36,540.29","36,334.80","34,781.23","34,620.16","34,087.26","34,947.57","35,276.39","34,991.50","35,611.81","35,304.60"
137,746,"1,026.80","1,413.29","1,941.34","2,656.77","3,615.94","4,923.86","6,689.70","8,880.87","11,858.39","15,205.00","19,073.14","23,550.99","26,977.06","30,274.40","32,642.85","33,588.54","33,337.88","33,781.90","32,409.72","32,188.28","31,382.66","31,258.17","30,777.59","30,658.80","30,977.73","30,397.54","31,667.41","31,941.65","32,974.41","33,899.89"
138,746,"1,029.52","1,420.80","1,951.27","2,673.84","3,667.29","4,987.20","6,749.75","9,061.06","12,000.66","15,870.00","20,028.22","24,771.89","29,373.93","33,182.64","36,365.41","37,793.31","36,981.00","36,016.29","34,749.04","34,319.00","34,219.93","34,861.34","35,488.81","34,541.50","34,473.18","33,502.73","33,876.87","33,846.80","34,519.98","34,953.04"
139,746,"1,027.62","1,415.54","1,943.18","2,670.64","3,654.92","4,991.82","6,777.02","9,127.89","12,096.87","15,866.52","19,523.40","23,136.88","26,008.97","28,929.71","31,259.29","33,133.90","34,800.75","34,407.60","33,645.43","32,723.81","31,728.91","30,550.95","30,865.31","30,604.94","31,133.04","30,432.64","29,760.93","29,383.54","28,752.16","29,499.18"
140,746,"1,028.91","1,419.10","1,954.94","2,680.81","3,666.61","5,007.36","6,733.61","8,979.39","11,940.22","15,326.71","19,035.69","22,502.36","25,746.29","28,813.82","30,628.56","32,616.23","33,153.77","33,747.36","34,899.56","35,582.71","35,434.25","35,458.21","34,812.88","35,157.77","35,890.32","36,423.09","37,075.78","37,146.33","37,677.47","38,029.57"
141,746,"1,029.37","1,420.39","1,952.96","2,682.36","3,667.25","5,006.37","6,798.85","9,176.55","11,990.60","15,891.68","19,561.38","23,750.12","27,883.99","29,703.20","32,150.83","32,290.78","32,125.64","32,483.93","32,432.40","33,226.55","33,421.06","32,770.56","31,733.44","30,357.74","29,965.03","30,438.68","31,593.99","33,043.81","33,680.41","34,514.84"
142,746,"1,027.65","1,415.64","1,950.66","2,680.22","3,657.70","4,948.01","6,668.82","8,899.92","11,822.48","15,281.07","19,309.49","23,562.67","26,822.19","29,722.63","30,803.40","32,693.92","31,892.58","32,714.13","31,468.82","31,154.49","31,828.00","31,515.77","31,295.70","32,141.95","30,314.38","31,663.84","29,999.32","29,427.61","29,100.31","27,929.67"
143,746,"1,028.79","1,418.77","1,951.98","2,679.37","3,672.30","4,998.43","6,781.66","9,117.68","12,165.98","15,702.96","19,756.22","22,625.84","25,854.96","27,322.80","29,653.50","31,195.00","32,158.94","34,062.94","34,874.27","34,891.30","35,978.51","36,221.65","37,223.51","37,558.35","38,245.50","38,319.43","38,058.11","36,348.54","35,499.56","32,760.97"
144,746,"1,028.69","1,418.52","1,948.40","2,671.39","3,653.25","4,983.97","6,735.70","8,993.91","11,974.35","15,495.83","19,300.53","23,566.73","27,022.28","30,759.80","33,818.11","34,328.47","35,173.56","33,597.18","33,842.02","32,984.01","32,157.74","31,993.27","32,132.17","32,221.95","33,860.22","33,590.55","33,826.99","34,063.60","33,943.16","32,876.92"
145,746,"1,026.63","1,412.84","1,943.86","2,668.05","3,654.08","4,986.96","6,736.86","9,050.96","12,131.59","15,845.07","20,516.58","23,908.86","27,925.04","28,943.71","29,637.65","30,526.50","30,491.66","31,646.62","32,992.99","34,193.14","34,381.15","35,673.41","34,631.51","34,762.33","34,470.45","33,167.89","33,498.93","32,653.13","32,514.24","32,543.08"
146,746,"1,029.43","1,420.53","1,954.34","2,684.87","3,674.54","4,983.83","6,732.70","8,966.55","11,857.12","15,030.03","18,529.79","22,046.39","25,385.67","28,044.87","30,578.04","31,210.37","31,254.06","32,323.60","32,627.41","32,380.19","33,229.46","31,400.76","31,538.66","30,417.32","30,154.37","29,654.59","29,832.20","29,689.63","30,796.91","30,138.89"
147,746,"1,027.12","1,414.17","1,943.62","2,672.53","3,641.53","4,949.93","6,724.99","8,957.68","11,911.69","15,353.68","19,510.23","23,128.17","26,926.94","29,683.42","31,415.62","34,229.02","34,072.14","35,836.28","34,707.67","33,546.24","32,738.73","32,339.71","32,310.00","32,307.44","32,730.41","32,937.77","33,983.07","33,271.36","33,396.07","33,041.87"
148,746,"1,026.48","1,412.41","1,944.14","2,672.76","3,654.69","4,951.19","6,680.89","8,877.72","11,762.61","14,974.16","18,559.13","22,095.23","25,137.19","27,883.09","29,813.79","31,844.20","32,049.12","32,989.92","32,171.69","31,506.93","30,582.53","29,702.81","28,619.10","28,220.95","27,914.68","27,733.18","27,887.61","27,469.54","27,084.45","26,831.11"
149,746,"1,028.92","1,419.13","1,954.31","2,684.67","3,682.44","5,032.85","6,844.95","9,241.58","12,325.27","16,304.79","20,854.24","24,897.90","28,999.76","31,865.80","33,750.21","36,108.67","36,945.60","38,290.15","38,923.96","39,753.71","40,400.56","40,241.85","38,717.24","37,686.67","35,554.70","34,167.29","32,277.35","30,996.15","29,151.93","27,929.10"
150,746,"1,028.48","1,417.93","1,952.46","2,682.02","3,665.23","4,987.03","6,763.62","9,119.13","12,170.52","15,991.65","20,079.13","24,142.15","27,801.95","29,834.75","32,674.55","34,176.71","36,080.03","38,024.99","38,822.46","39,370.90","37,643.25","37,472.11","36,007.71","34,318.67","34,570.56","32,244.37","31,539.27","30,403.39","30,268.66","29,458.13"
151,746,"1,028.97","1,419.28","1,953.60","2,671.66","3,642.52","4,952.77","6,732.85","9,071.53","12,022.29","15,857.73","19,724.91","24,097.69","27,237.74","29,988.67","31,920.66","32,042.88","32,057.50","32,352.39","32,128.41","33,170.65","33,059.68","33,931.95","33,935.74","33,568.81","32,644.08","31,988.95","31,311.92","31,778.70","32,788.70","33,615.00"
152,746,"1,027.42","1,415.00","1,946.22","2,673.03","3,650.15","4,985.42","6,758.47","9,121.53","12,131.22","16,085.54","20,067.50","24,584.29","27,741.69","31,205.75","32,828.20","35,152.83","35,651.12","35,497.07","35,843.69","34,701.10","34,671.37","32,841.03","32,737.11","31,573.19","32,442.09","31,710.21","31,669.01","32,162.83","31,752.85","32,596.67"
153,746,"1,026.80","1,413.30","1,947.08","2,666.81","3,646.08","4,950.01","6,684.49","8,962.93","11,918.76","15,250.28","19,168.84","22,330.01","25,701.62","27,438.16","29,573.93","29,306.86","30,601.49","29,655.75","30,519.05","30,259.95","30,999.45","30,903.58","31,625.48","31,687.48","31,413.40","32,538.47","31,609.59","33,058.37","32,779.40","32,259.78"
154,746,"1,028.87","1,419.01","1,950.95","2,674.95","3,669.39","4,962.63","6,697.50","8,910.29","11,884.96","15,156.93","19,342.45","23,183.84","26,250.68","28,821.12","30,794.59","31,161.79","33,507.95","34,232.46","35,955.04","35,219.17","35,119.01","32,557.70","32,685.57","30,849.61","30,354.00","30,019.68","29,452.21","30,550.30","30,641.88","31,884.88"
155,746,"1,026.65","1,412.89","1,941.71","2,667.16","3,637.46","4,956.70","6,724.88","9,039.44","11,894.03","15,747.39","19,392.91","23,831.90","27,538.81","29,799.22","32,432.92","33,516.68","35,360.80","36,721.63","37,638.82","37,400.98","36,651.20","35,114.37","34,709.60","33,946.43","33,444.91","33,443.78","32,116.83","31,560.63","30,161.10","29,467.71"
156,746,"1,028.75","1,418.68","1,951.20","2,683.14","3,670.90","4,973.14","6,760.81","8,977.33","11,991.32","15,419.57","19,782.25","24,599.59","28,044.27","31,348.79","33,069.47","33,189.52","33,897.43","33,258.84","33,359.40","33,773.77","34,508.78","34,208.27","34,898.50","34,059.14","33,431.54","33,014.28","33,309.60","33,082.62","33,711.02","33,899.64"
157,746,"1,029.26","1,420.06","1,956.96","2,688.04","3,685.68","4,997.45","6,788.43","9,044.63","12,046.99","15,522.41","19,405.83","23,859.34","26,285.38","29,514.14","29,721.86","31,721.22","31,775.39","31,978.73","32,906.69","33,322.44","32,614.03","33,908.46","33,646.23","33,840.60","35,057.66","34,975.12","36,099.28","34,994.17","35,375.54","35,288.86"
158,746,"1,027.62","1,415.56","1,948.75","2,673.97","3,658.03","4,977.62","6,704.25","9,048.80","12,116.79","15,784.36","19,801.56","23,682.28","26,595.83","29,651.29","30,531.96","31,931.21","32,642.97","33,267.13","35,095.06","35,707.86","36,155.27","36,494.63","36,197.21","34,453.99","33,871.52","33,437.82","33,412.45","33,666.87","33,225.17","32,427.63"
159,746,"1,026.77","1,413.21","1,944.94","2,669.97","3,654.57","4,942.06","6,691.92","8,939.44","11,980.77","15,531.11","20,132.44","23,881.24","27,784.78","29,438.32","30,209.56","29,911.30","30,598.79","30,001.72","31,072.60","31,998.86","32,486.54","33,040.44","32,951.04","33,405.05","33,610.40","32,919.38","32,884.58","31,241.49","30,004.21","29,275.65"
160,746,"1,027.42","1,415.01","1,946.31","2,674.71","3,660.19","4,958.10","6,734.62","8,981.76","12,035.53","15,409.57","19,512.62","22,708.91","26,244.72","28,491.63","31,514.05","33,461.25","35,127.52","35,179.57","34,643.48","34,527.20","33,425.22","33,050.51","32,164.94","32,459.05","32,753.16","33,395.86","33,844.52","32,729.61","31,532.31","30,769.71"
161,746,"1,027.20","1,414.39","1,943.91","2,669.50","3,655.20","4,958.83","6,731.30","8,945.52","11,830.65","14,979.55","18,694.82","22,168.74","25,966.24","27,884.90","30,225.72","31,779.98","32,417.74","33,040.69","33,589.95","32,067.04","33,221.77","31,562.43","32,617.59","32,012.68","32,106.37","31,913.38","30,768.22","31,429.01","31,257.40","32,679.95"
162,746,"1,028.91","1,419.11","1,955.75","2,684.45","3,675.55","5,016.33","6,815.19","9,114.58","12,119.54","15,835.65","20,182.46","24,728.50","28,984.22","32,013.85","33,093.52","34,723.89","34,399.00","35,567.09","34,846.29","33,540.93","33,162.68","31,843.23","31,368.72","31,655.10","31,268.20","31,864.11","31,478.41","32,394.32","31,181.36","31,640.04"
163,746,"1,027.44","1,415.06","1,941.83","2,670.49","3,659.31","4,996.73","6,721.18","8,997.67","11,803.79","15,081.34","18,257.35","21,034.21","23,733.43","25,327.92","27,876.04","29,612.58","32,195.62","33,846.16","35,609.27","36,044.75","37,337.93","37,947.89","36,763.36","35,462.28","34,548.64","33,574.69","34,327.49","34,271.40","33,916.92","34,298.16"
164,746,"1,029.53","1,420.83","1,955.84","2,684.93","3,672.84","5,014.80","6,728.61","8,993.04","11,902.75","15,430.89","19,595.49","23,448.35","27,526.63","30,694.17","32,236.94","32,687.09","32,797.70","32,956.45","32,661.89","33,864.53","33,124.19","32,886.04","32,693.33","31,288.66","30,489.79","29,860.36","28,519.43","27,866.77","28,256.77","27,646.57"
165,746,"1,029.09","1,419.61","1,954.71","2,685.02","3,677.01","4,993.56","6,780.84","9,149.55","12,191.14","16,053.23","20,331.66","24,268.53","28,115.14","29,927.60","32,302.53","32,605.27","33,760.19","34,658.95","34,017.11","33,173.93","33,337.09","31,758.98","31,506.55","31,064.03","31,334.31","31,664.82","33,014.07","32,641.94","33,178.55","32,473.83"
166,746,"1,028.79","1,418.78","1,954.65","2,683.42","3,678.78","5,022.23","6,786.32","9,164.91","12,204.85","15,732.89","19,993.46","23,184.42","26,573.31","29,446.44","31,866.01","34,319.89","34,415.45","34,642.47","34,433.64","34,511.44","35,448.44","36,284.60","37,302.79","38,139.55","37,010.85","36,472.70","35,351.97","34,758.95","35,436.17","35,741.38"
167,746,"1,028.01","1,416.63","1,950.40","2,681.11","3,657.64","4,981.68","6,719.77","9,060.77","12,134.22","15,748.65","19,748.52","23,743.12","27,171.33","29,897.09","32,992.79","34,047.86","34,822.10","35,164.91","35,274.23","34,631.31","33,295.07","33,766.18","32,065.71","31,409.63","30,724.10","30,845.96","31,550.89","32,600.79","32,896.53","32,123.35"
168,746,"1,028.77","1,418.73","1,954.45","2,677.86","3,670.10","5,013.67","6,808.21","9,149.10","12,126.01","15,703.74","19,654.29","23,516.74","26,996.94","29,659.97","30,663.22","31,204.13","31,442.65","31,679.56","32,839.75","32,516.62","33,871.14","33,880.25","34,005.24","33,016.63","32,015.66","30,644.11","29,797.12","29,727.10","29,992.75","31,234.55"
169,746,"1,027.01","1,413.89","1,945.85","2,667.19","3,655.60","4,983.52","6,757.15","9,019.57","11,977.21","15,336.15","19,134.88","22,787.79","26,536.10","29,009.22","31,897.81","33,268.38","35,158.37","35,096.76","34,832.17","32,842.34","30,857.11","29,594.18","29,550.44","30,425.61","30,244.84","30,297.85","29,882.75","30,053.16","29,625.63","30,706.74"
170,746,"1,028.30","1,417.43","1,949.17","2,680.97","3,671.15","4,993.04","6,759.34","9,032.57","11,921.77","15,516.45","19,248.34","23,622.99","26,971.92","29,671.48","31,961.50","32,677.26","32,865.14","32,934.11","31,572.37","32,308.26","32,262.30","33,491.61","34,804.77","34,780.44","35,960.11","36,024.66","35,930.87","35,300.60","35,331.45","34,477.49"
171,746,"1,026.75","1,413.15","1,945.60","2,667.08","3,648.43","4,975.50","6,750.79","8,957.72","11,849.54","15,029.08","18,526.41","22,526.80","25,397.99","28,483.05","30,864.03","32,848.82","33,802.53","34,719.57","35,130.43","34,512.10","35,142.36","35,536.60","34,588.85","34,412.14","34,021.79","33,298.92","32,260.25","32,618.64","30,795.23","31,406.88"
172,746,"1,026.65","1,412.88","1,945.95","2,670.43","3,662.74","4,952.42","6,695.33","8,970.93","11,783.28","15,413.15","18,607.37","22,179.86","25,358.28","27,649.86","30,182.06","32,454.22","32,501.56","33,150.88","32,947.56","33,571.95","32,578.13","34,094.73","33,351.55","33,096.64","33,541.11","32,791.06","33,561.24","34,331.96","34,785.19","34,926.97"
173,746,"1,027.15","1,414.27","1,941.22","2,669.99","3,662.60","4,998.70","6,787.39","9,169.29","12,193.71","16,052.54","20,298.10","24,297.08","28,305.24","29,934.50","31,137.66","31,803.34","31,862.92","32,442.48","33,571.48","32,951.86","32,909.58","32,193.39","31,506.03","31,435.67","31,542.41","32,411.57","32,669.92","34,019.02","33,590.98","34,504.33"
174,746,"1,029.46","1,420.64","1,950.54","2,679.57","3,665.26","5,001.19","6,794.98","9,136.81","12,218.36","16,058.11","20,512.51","24,647.68","28,244.32","31,285.66","31,852.25","33,523.53","32,027.33","32,094.40","30,865.60","31,069.15","30,202.37","30,066.48","29,204.45","28,176.36","28,750.79","29,315.12","30,780.08","31,454.64","32,483.68","33,189.84"
175,746,"1,028.92","1,419.15","1,952.20","2,680.47","3,669.12","4,989.81","6,767.04","9,045.91","12,087.30","15,682.99","20,169.80","24,522.48","29,195.31","32,746.61","34,307.31","36,060.54","36,125.75","36,133.13","34,883.87","34,277.02","33,178.46","32,839.62","32,273.49","31,378.45","31,780.74","30,328.60","31,521.80","31,848.26","32,183.20","33,444.61"
176,746,"1,029.23","1,419.99","1,956.86","2,679.48","3,660.44","4,950.93","6,715.26","8,980.74","12,010.20","15,655.59","20,129.62","24,205.81","28,065.56","29,929.92","31,739.52","32,993.07","33,402.00","34,471.34","33,559.99","34,516.61","33,606.35","33,483.93","33,204.77","31,725.62","31,057.99","31,080.48","31,055.10","32,697.17","32,197.65","32,725.86"
177,746,"1,029.23","1,419.98","1,949.26","2,668.05","3,635.16","4,939.72","6,675.22","9,020.76","12,002.77","15,820.06","20,073.65","23,596.65","27,433.04","28,863.83","31,371.85","32,603.34","33,579.93","34,459.64","34,693.05","35,519.10","35,539.38","34,330.75","34,769.59","33,673.29","34,547.11","33,453.24","34,523.13","32,993.87","34,280.93","33,385.08"
178,746,"1,027.57","1,415.41","1,950.32","2,682.17","3,676.86","5,018.80","6,801.70","9,190.29","12,191.62","16,081.99","20,389.39","24,295.26","27,602.71","29,275.24","29,648.16","30,751.24","31,392.80","32,894.82","33,770.02","35,110.48","35,354.66","34,816.39","34,724.62","33,134.80","33,604.46","32,918.23","34,183.81","34,823.60","36,148.11","37,270.27"
179,746,"1,029.24","1,420.02","1,950.67","2,681.84","3,651.25","4,987.88","6,773.62","9,117.50","12,153.79","15,876.40","19,803.08","23,448.33","25,895.87","29,075.52","30,938.55","32,680.86","34,711.54","34,396.38","35,207.09","35,717.76","36,059.97","37,203.47","37,296.87","36,797.50","36,703.33","34,437.77","34,449.24","32,059.25","32,351.41","31,485.08"
180,746,"1,029.04","1,419.48","1,955.85","2,688.09","3,675.31","5,015.06","6,821.23","9,142.87","12,243.38","15,656.82","19,989.11","23,775.20","27,444.78","30,312.74","32,993.64","33,215.33","34,683.07","33,164.40","32,089.49","31,835.58","29,890.63","31,156.19","31,088.57","31,763.96","31,815.76","31,888.55","31,833.23","31,452.02","32,504.27","32,974.69"
181,746,"1,026.79","1,413.27","1,946.96","2,671.09","3,659.32","4,967.79","6,705.20","8,963.22","11,886.37","15,446.23","19,547.49","23,372.95","26,927.18","29,774.26","31,909.82","32,855.84","34,583.20","33,118.18","33,876.40","32,909.37","33,875.87","33,497.15","34,862.97","34,017.61","35,209.18","33,208.43","32,894.55","30,609.36","29,133.13","28,338.58"
182,746,"1,028.68","1,418.47","1,952.93","2,676.16","3,658.14","4,995.32","6,784.32","9,167.93","12,050.26","15,649.51","18,883.49","22,559.35","24,923.67","27,792.94","29,935.40","31,464.02","32,954.57","34,185.48","33,629.29","33,694.54","33,553.69","32,218.56","32,781.68","31,860.02","32,199.03","31,054.32","30,745.87","30,860.94","31,041.89","32,653.37"
183,746,"1,028.91","1,419.12","1,952.85","2,683.86","3,668.02","5,004.03","6,780.82","9,010.37","11,961.86","15,366.29","19,465.32","23,929.88","27,896.84","31,654.75","34,051.16","36,446.51","37,623.66","38,530.11","36,840.28","35,623.92","34,748.15","32,720.25","32,453.95","31,167.52","31,426.29","31,481.12","31,854.47","32,591.82","32,817.44","32,257.35"
184,746,"1,027.21","1,414.43","1,948.94","2,667.15","3,639.14","4,973.45","6,707.59","9,024.53","11,988.76","15,897.95","19,899.77","23,784.89","27,563.36","29,868.71","32,584.55","33,952.19","34,347.30","33,538.39","33,768.93","32,812.35","32,417.01","31,959.06","31,115.47","30,284.46","30,615.60","29,955.00","30,032.46","30,726.57","30,968.10","31,153.08"
185,746,"1,028.18","1,417.11","1,946.08","2,675.91","3,641.60","4,964.32","6,665.54","8,973.36","11,803.06","15,319.40","18,807.18","22,244.83","25,548.32","27,742.98","30,748.48","32,500.42","34,533.90","35,239.08","35,456.65","34,172.39","33,811.07","33,043.21","33,316.31","32,535.06","32,823.92","32,434.43","32,785.78","31,683.33","31,434.69","31,106.52"
186,746,"1,028.13","1,416.96","1,951.29","2,683.50","3,677.34","5,024.68","6,815.06","9,128.52","12,162.85","15,830.60","19,983.15","23,470.98","27,517.80","28,632.99","31,963.84","32,940.34","34,332.62","35,979.31","36,020.26","37,100.71","36,841.66","36,608.33","34,807.08","33,031.85","31,024.46","30,835.89","30,169.82","30,150.11","30,732.03","30,411.82"
187,746,"1,026.88","1,413.50","1,940.50","2,655.10","3,626.93","4,954.39","6,730.15","9,005.59","11,785.49","15,022.54","18,349.89","21,056.21","24,284.99","26,030.81","28,369.99","29,429.54","31,526.44","32,112.39","33,224.45","32,530.96","32,757.21","32,182.55","32,780.61","33,084.20","34,234.13","34,117.98","34,554.39","34,856.21","35,371.63","34,945.34"
188,746,"1,026.59","1,412.72","1,939.64","2,662.62","3,650.88","4,959.96","6,712.31","9,056.84","12,073.22","15,884.11","20,229.45","24,455.85","28,477.61","31,432.58","32,615.23","32,742.26","31,490.01","31,068.97","30,015.03","30,111.56","30,635.74","31,260.60","32,056.51","32,173.68","33,286.91","32,148.35","33,634.27","33,263.93","32,741.35","31,584.86"
189,746,"1,028.41","1,417.74","1,953.01","2,685.06","3,670.08","5,013.92","6,800.92","9,072.26","11,867.79","15,002.73","18,448.00","21,778.69","24,826.65","28,171.47","29,888.92","32,602.95","33,602.80","35,763.06","36,439.98","35,987.48","35,848.78","34,408.13","34,487.71","34,614.94","34,616.13","33,869.12","33,385.43","33,328.80","33,174.27","33,866.94"
190,746,"1,029.47","1,420.66","1,951.03","2,671.13","3,637.17","4,964.52","6,717.63","8,987.61","11,906.72","15,273.71","18,715.64","22,152.40","24,752.90","27,582.90","29,765.58","30,615.74","31,748.68","32,600.14","33,601.87","34,995.05","34,595.81","35,452.04","35,409.48","35,810.51","36,346.19","36,327.58","35,384.51","33,758.58","33,748.38","32,633.01"
191,746,"1,026.80","1,413.29","1,942.01","2,670.09","3,662.07","4,975.55","6,685.43","8,875.30","11,651.52","14,688.26","17,998.48","20,949.46","24,007.93","26,856.54","28,873.25","30,214.00","30,453.05","30,629.95","31,017.99","30,736.25","30,871.19","30,766.45","31,252.56","30,549.56","30,432.33","29,068.19","29,107.50","29,684.89","30,754.95","31,592.38"
192,746,"1,029.42","1,420.53","1,956.09","2,687.96","3,672.33","5,013.07","6,733.19","9,009.08","11,802.82","15,197.29","18,545.40","21,744.62","25,296.55","27,328.38","30,009.85","31,802.86","32,857.19","33,029.18","32,839.16","32,699.29","33,298.30","34,440.24","34,287.98","34,281.00","34,139.25","33,727.91","32,856.61","33,331.98","33,321.13","34,536.83"
193,746,"1,027.76","1,415.95","1,949.74","2,675.35","3,666.30","4,985.68","6,739.86","9,051.96","12,130.29","15,875.56","20,509.73","25,017.20","29,317.36","31,746.67","34,128.92","33,849.49","33,256.27","31,985.66","30,824.30","30,271.59","30,172.57","30,360.00","31,583.06","31,991.94","33,921.30","34,809.35","34,126.70","32,982.06","31,860.81","31,478.56"
194,746,"1,028.88","1,419.02","1,951.28","2,676.04","3,665.74","4,975.99","6,709.97","9,033.78","12,104.61","15,947.72","20,513.05","24,773.72","28,004.96","29,996.26","30,292.51","29,985.34","29,889.27","29,190.71","29,939.60","29,080.57","29,562.52","28,663.24","29,460.13","30,210.57","31,292.52","32,538.85","33,613.95","34,324.44","34,357.05","34,680.70"
195,746,"1,029.08","1,419.57","1,955.53","2,682.57","3,677.02","5,012.47","6,782.18","9,088.93","12,148.33","15,837.26","19,830.73","23,937.07","26,865.25","30,322.06","31,334.65","33,818.48","34,384.21","36,006.82","37,352.91","37,366.20","38,435.61","37,730.29","37,906.83","37,183.68","37,271.76","37,386.47","35,515.25","36,295.54","35,191.57","35,590.72"
196,746,"1,028.19","1,417.11","1,945.84","2,669.38","3,653.46","4,975.82","6,768.39","9,130.62","12,118.30","15,987.85","20,282.74","24,850.79","28,561.02","31,094.17","32,194.01","32,337.03","33,022.82","33,046.02","33,536.42","33,039.01","33,751.44","33,831.12","33,065.38","34,032.74","33,297.75","32,684.58","33,566.43","33,663.38","34,914.08","35,158.89"
197,746,"1,027.27","1,414.59","1,949.15","2,678.67","3,653.44","4,968.37","6,739.49","9,060.96","11,917.98","15,411.16","18,779.09","22,439.43","25,402.59","27,838.53","30,350.24","31,361.61","32,336.92","31,997.88","31,640.81","30,754.59","31,502.03","31,920.20","33,141.86","33,035.70","33,463.55","33,804.72","33,683.72","34,847.27","35,406.43","35,936.72"
198,746,"1,026.92","1,413.64","1,945.58","2,675.02","3,647.06","4,978.11","6,721.24","9,071.29","12,050.19","15,804.75","19,811.86","23,732.95","27,762.34","29,874.18","31,456.67","31,936.83","31,540.08","32,107.39","32,755.15","33,449.20","33,982.07","33,522.14","33,318.84","32,093.30","32,622.34","31,409.10","31,221.96","30,940.45","31,072.63","31,743.14"
199,746,"1,029.34","1,420.30","1,950.08","2,680.41","3,673.60","4,997.87","6,720.12","9,028.49","12,019.23","15,890.81","20,224.55","24,709.20","28,383.89","30,726.36","31,673.53","32,081.50","33,063.32","33,385.95","33,876.12","34,866.51","34,813.64","35,040.39","34,740.54","35,066.98","35,351.74","35,445.66","36,382.01","36,832.96","37,787.98","36,968.45"
200,746,"1,029.43","1,420.56","1,952.97","2,681.60","3,669.65","5,005.52","6,793.58","9,049.61","12,121.45","15,510.32","19,933.81","23,920.49","28,066.62","30,324.81","32,407.53","33,198.45","32,287.27","33,519.05","33,212.15","34,216.62","33,238.41","32,299.45","32,228.06","32,161.34","32,949.00","33,461.81","34,139.52","33,183.63","32,253.31","31,063.32"
201,746,"1,028.57","1,418.17","1,952.90","2,685.05","3,654.44","4,978.40","6,707.47","9,053.57","11,935.61","15,719.64","19,313.75","22,838.56","26,015.90","27,162.08","29,031.80","30,201.83","30,349.24","30,524.21","30,048.32","30,432.84","29,409.40","30,349.13","30,699.79","32,019.81","32,345.06","33,859.04","33,756.73","34,413.32","34,683.16","35,603.32"
202,746,"1,028.16","1,417.03","1,948.69","2,674.59","3,662.62","4,984.89","6,763.76","9,007.98","11,996.43","15,134.02","18,684.23","21,446.54","24,499.59","27,043.90","29,478.07","32,303.98","33,771.42","35,686.57","36,535.35","35,486.06","36,092.31","34,520.79","34,196.99","32,361.84","31,092.08","30,452.91","30,242.85","31,159.26","32,438.26","33,060.09"
203,746,"1,029.19","1,419.88","1,954.66","2,686.28","3,680.39","5,022.39","6,794.93","9,152.11","12,173.88","15,920.54","20,237.98","24,408.57","28,866.14","31,880.84","34,392.11","33,914.22","34,040.40","32,535.57","31,494.32","31,739.76","30,138.92","31,676.48","30,431.55","31,061.04","30,949.28","29,975.61","29,437.58","28,771.20","27,554.14","27,050.56"
204,746,"1,026.35","1,412.07","1,946.05","2,670.94","3,650.41","4,987.86","6,769.62","9,047.16","12,098.20","15,716.50","20,192.03","24,729.25","28,136.90","32,049.22","32,455.18","34,940.54","35,536.97","34,639.72","33,938.21","32,350.53","31,525.47","31,549.79","31,017.30","31,587.32","30,340.49","31,223.07","29,827.48","31,023.55","30,980.46","32,364.22"
205,746,"1,028.45","1,417.83","1,952.80","2,684.91","3,663.24","5,006.31","6,755.64","9,044.08","11,869.08","15,512.67","18,968.64","22,763.10","26,229.91","28,180.20","30,995.79","32,792.80","34,580.26","35,439.98","35,018.39","33,332.24","32,673.76","30,833.92","31,006.86","29,487.84","29,247.43","27,951.66","28,701.22","29,053.24","31,171.30","31,856.92"
206,746,"1,028.11","1,416.90","1,948.21","2,677.09","3,672.28","4,987.30","6,711.79","8,899.03","11,853.90","14,962.31","18,794.97","21,921.22","24,559.16","27,171.34","29,001.90","31,616.02","32,567.71","34,081.84","34,105.01","33,832.18","34,216.84","33,200.78","34,223.84","34,284.35","35,369.00","35,051.79","33,848.31","31,983.98","30,472.93","30,074.10"
207,746,"1,027.86","1,416.22","1,950.17","2,681.94","3,661.74","4,982.92","6,749.36","9,052.67","12,134.49","15,696.79","19,783.10","23,530.15","26,755.91","29,447.10","30,872.30","31,435.06","32,072.45","30,984.09","31,451.91","31,586.16","31,821.87","32,294.44","32,178.85","32,862.94","32,482.06","34,016.55","33,565.00","32,783.71","33,126.52","32,890.58"
208,746,"1,028.67","1,418.44","1,952.03","2,682.44","3,675.89","4,973.85","6,673.46","8,877.39","11,691.43","14,825.63","18,634.97","22,529.23","26,581.60","29,528.55","31,891.06","33,063.60","34,285.73","35,257.50","35,263.43","35,049.29","34,807.64","32,852.16","33,568.25","31,493.27","31,558.65","30,535.94","30,035.16","29,897.53","30,726.14","31,560.08"
209,746,"1,028.72","1,418.58","1,950.95","2,681.43","3,662.35","4,989.38","6,743.43","9,084.82","11,938.34","15,783.89","19,290.84","23,203.52","26,816.61","29,050.92","31,639.54","33,705.90","34,768.75","35,114.50","36,042.11","34,544.04","35,642.04","35,143.07","35,521.42","35,475.35","33,737.03","32,487.84","31,981.96","31,790.38","33,167.19","33,053.94"
