Year,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,
17,746,"1,027.71","1,415.79","1,951.16","2,677.28","3,665.24","4,997.00","6,728.91","9,049.55","12,073.63","15,949.57","20,160.13","23,984.56","26,527.22","28,610.22","30,090.85","31,825.73","33,056.01","32,910.69","33,773.51","33,498.58","34,270.43","34,598.95","35,397.98","35,774.06","35,715.10","34,743.08","34,827.25","34,501.53","34,452.03","34,200.10"
18,746,"1,026.40","1,412.20","1,941.87","2,660.81","3,647.88","4,950.47","6,675.12","8,999.19","11,857.22","15,453.24","19,220.67","22,904.27","25,951.26","28,079.78","28,461.39","29,504.24","30,585.64","32,164.99","34,313.55","33,859.41","34,851.46","34,151.92","32,722.43","33,501.89","32,430.53","32,991.42","32,595.17","31,807.33","30,587.64","29,939.43"
19,746,"1,027.69","1,415.74","1,950.93","2,680.86","3,666.01","4,991.21","6,756.66","9,000.95","11,900.05","14,972.68","18,815.89","22,103.51","26,149.53","29,401.83","31,978.96","34,182.56","35,610.90","36,944.87","38,246.96","37,001.19","37,845.54","37,201.35","35,463.87","36,186.88","35,000.31","35,799.50","35,711.27","35,975.81","36,194.47","35,860.90"
20,746,"1,026.41","1,412.23","1,946.04","2,662.49","3,629.32","4,950.68","6,723.91","8,938.73","11,869.83","14,875.18","18,632.55","21,312.73","24,072.59","26,859.06","27,735.78","30,831.73","32,289.58","34,705.96","36,165.74","36,087.99","36,014.26","35,709.57","36,106.87","37,085.41","38,005.96","38,678.47","37,546.33","38,016.90","36,707.88","36,272.20"
21,746,"1,027.77","1,415.96","1,943.41","2,666.27","3,650.07","4,978.47","6,677.97","8,889.44","11,576.03","14,994.62","18,302.64","22,859.91","26,831.72","29,459.59","32,437.67","32,771.59","33,643.74","33,078.09","33,601.55","33,277.87","34,432.34","33,908.17","35,070.16","33,836.95","34,031.99","34,357.99","32,980.19","32,534.08","31,312.70","30,913.01"
22,746,"1,028.50","1,417.97","1,952.47","2,681.49","3,662.61","5,001.08","6,710.45","8,917.18","11,899.56","15,332.24","19,637.21","24,377.84","28,636.83","31,730.78","34,229.13","35,721.06","36,413.87","36,042.88","36,176.82","34,285.26","34,743.65","34,585.01","35,810.79","36,594.01","37,772.33","36,916.22","35,810.87","34,666.75","34,076.45","34,315.69"
23,746,"1,028.97","1,419.28","1,949.83","2,676.14","3,656.17","4,972.15","6,670.67","9,011.49","11,860.22","15,729.51","19,398.09","23,978.55","27,898.34","30,279.98","32,200.21","32,329.06","31,050.51","31,199.10","30,714.90","30,058.90","30,512.50","30,433.28","31,518.13","31,736.05","33,025.21","32,496.78","33,366.06","32,382.09","32,512.06","32,110.23"
24,746,"1,029.38","1,420.39","1,956.86","2,681.97","3,664.96","4,984.10","6,726.09","9,066.28","12,113.56","16,015.02","20,123.79","24,759.25","28,394.76","31,165.40","33,569.50","33,974.48","33,326.93","33,202.96","31,149.22","31,829.62","30,372.38","30,775.36","31,289.56","32,248.23","32,660.82","33,872.65","34,555.22","34,637.70","35,751.98","35,351.39"
25,746,"1,028.74","1,418.64","1,954.06","2,675.51","3,655.04","4,979.25","6,759.78","9,072.28","11,989.89","15,844.74","19,474.57","23,964.62","27,610.57","30,320.16","33,367.83","33,834.84","35,517.42","36,003.36","35,672.39","34,545.72","34,358.24","33,543.97","34,067.19","35,024.61","35,562.97","35,120.59","34,786.25","33,553.88","32,814.55","32,666.73"
26,746,"1,026.69","1,412.99","1,942.13","2,671.20","3,648.56","4,939.93","6,675.15","8,927.23","11,954.67","15,433.43","19,922.13","23,708.28","28,150.89","31,113.44","33,658.59","33,786.32","32,779.56","32,243.61","30,436.38","30,699.85","31,208.65","32,341.59","32,731.78","34,416.37","33,719.97","35,144.85","35,007.11","35,466.02","35,848.67","34,048.39"
